,from,to,x,Pmax,Suscep
54,30,38,0.054000000000000006,542,18.518518518518515
55,39,40,0.0605,151,16.528925619834713
56,40,41,0.0487,152,20.53388090349076
57,40,42,0.183,151,5.46448087431694
58,41,42,0.135,151,7.4074074074074066
59,43,44,0.2454,117,4.074979625101874
60,34,43,0.1681,167,5.94883997620464
61,44,45,0.0901,166,11.098779134295228
62,45,46,0.1356,153,7.374631268436579
63,46,47,0.127,152,7.874015748031496
64,46,48,0.18899999999999997,148,5.291005291005292
65,47,49,0.0625,150,16.0
66,42,49,0.32299999999999995,89,3.095975232198143
67,42,49,0.32299999999999995,89,3.095975232198143
68,45,49,0.18600000000000003,138,5.376344086021505
69,48,49,0.0505,140,19.801980198019802
70,49,50,0.0752,140,13.297872340425531
71,49,51,0.13699999999999998,140,7.299270072992702
72,51,52,0.0588,142,17.006802721088437
73,52,53,0.1635,166,6.116207951070336
74,53,54,0.122,177,8.19672131147541
75,49,54,0.289,99,3.4602076124567476
76,49,54,0.29100000000000004,97,3.4364261168384878
77,54,55,0.0707,169,14.144271570014144
78,54,56,0.00955,155,104.71204188481676
79,55,56,0.0151,146,66.2251655629139
80,56,57,0.0966,140,10.351966873706004
81,50,57,0.134,140,7.462686567164178
82,56,58,0.0966,140,10.351966873706004
83,51,58,0.0719,140,13.908205841446453
84,54,59,0.2293,125,4.361098996947231
85,56,59,0.251,112,3.9840637450199203
86,56,59,0.239,117,4.184100418410042
87,55,59,0.2158,133,4.633920296570899
88,59,60,0.145,176,6.8965517241379315
89,59,61,0.15,176,6.666666666666667
90,60,61,0.0135,186,74.07407407407408
91,60,62,0.0561,176,17.825311942959004
92,61,62,0.0376,176,26.595744680851062
93,63,59,0.0386,760,25.906735751295336
94,63,64,0.02,687,50.0
95,64,61,0.0268,1095,37.3134328358209
96,38,65,0.0986,297,10.141987829614605
97,64,65,0.0302,675,33.11258278145695
98,49,66,0.0919,186,10.881392818280741
99,49,66,0.0919,186,10.881392818280741
100,62,66,0.218,132,4.587155963302752
101,62,67,0.11699999999999999,176,8.547008547008547
102,65,66,0.037000000000000005,793,27.027027027027025
103,66,67,0.1015,176,9.852216748768472
104,65,68,0.016,686,62.5
105,47,69,0.2778,102,3.599712023038157
106,49,69,0.324,87,3.0864197530864197
107,68,69,0.037000000000000005,793,27.027027027027025
108,69,70,0.127,170,7.874015748031496
109,24,70,0.4115,72,2.4301336573511545
110,70,71,0.0355,166,28.169014084507044
111,24,72,0.196,146,5.1020408163265305
112,71,72,0.18,159,5.555555555555555
113,71,73,0.0454,188,22.026431718061673
114,70,74,0.1323,151,7.558578987150415
115,70,75,0.141,151,7.092198581560284
116,69,75,0.122,145,8.19672131147541
117,74,75,0.0406,151,24.630541871921185
118,76,77,0.14800000000000002,152,6.756756756756756
119,69,77,0.10099999999999999,150,9.900990099009901
120,75,77,0.1999,141,5.002501250625313
121,77,78,0.0124,151,80.64516129032258
122,78,79,0.0244,174,40.983606557377044
123,77,80,0.0485,141,20.618556701030926
124,77,80,0.105,157,9.523809523809524
125,79,80,0.0704,175,14.204545454545453
126,68,81,0.0202,684,49.504950495049506
127,81,80,0.037000000000000005,793,27.027027027027025
128,77,82,0.0853,141,11.723329425556859
129,82,83,0.03665,150,27.28512960436562
130,83,84,0.132,122,7.575757575757575
131,83,85,0.14800000000000002,154,6.756756756756756
132,84,85,0.0641,122,15.600624024960997
133,85,86,0.12300000000000001,156,8.130081300813007
134,86,87,0.2074,141,4.821600771456123
135,85,88,0.102,186,9.803921568627452
136,85,89,0.17300000000000001,168,5.780346820809248
137,88,89,0.0712,186,14.04494382022472
138,89,90,0.188,151,5.319148936170213
139,89,90,0.0997,169,10.030090270812437
140,90,91,0.0836,151,11.961722488038278
141,89,92,0.0505,186,19.801980198019802
142,89,92,0.1581,166,6.325110689437065
143,91,92,0.1272,151,7.861635220125786
144,92,93,0.0848,151,11.79245283018868
145,92,94,0.158,151,6.329113924050633
146,93,94,0.0732,151,13.66120218579235
147,94,95,0.0434,151,23.04147465437788
148,80,96,0.182,159,5.4945054945054945
149,82,96,0.053,150,18.867924528301888
150,94,96,0.0869,149,11.507479861910241
151,80,97,0.0934,186,10.706638115631693
152,80,98,0.10800000000000001,176,9.259259259259258
153,80,99,0.20600000000000002,140,4.854368932038835
154,92,100,0.295,98,3.3898305084745766
155,94,100,0.057999999999999996,150,17.24137931034483
156,95,96,0.0547,149,18.281535648994517
157,96,97,0.0885,186,11.299435028248588
158,98,100,0.179,160,5.58659217877095
159,99,100,0.0813,175,12.300123001230013
160,100,101,0.1262,176,7.923930269413629
161,92,102,0.0559,176,17.88908765652952
162,101,102,0.11199999999999999,176,8.928571428571429
163,100,103,0.0525,151,19.047619047619047
164,100,104,0.204,141,4.901960784313726
165,103,104,0.1584,153,6.313131313131312
166,103,105,0.1625,145,6.153846153846153
167,100,106,0.22899999999999998,124,4.366812227074236
168,104,105,0.0378,161,26.455026455026456
169,105,106,0.0547,164,18.281535648994517
170,105,107,0.183,154,5.46448087431694
171,105,108,0.0703,137,14.22475106685633
172,106,107,0.183,154,5.46448087431694
173,108,109,0.0288,138,34.72222222222222
174,103,110,0.1813,159,5.515719801434088
175,109,110,0.0762,138,13.123359580052492
176,110,111,0.0755,154,13.245033112582782
177,110,112,0.064,135,15.625
178,17,113,0.0301,151,33.222591362126245
179,32,113,0.203,139,4.926108374384236
180,32,114,0.0612,176,16.339869281045754
181,27,115,0.0741,175,13.49527665317139
182,114,115,0.0104,175,96.15384615384616
183,68,116,0.00405,7218,246.9135802469136
184,12,117,0.14,170,7.142857142857142
185,75,118,0.0481,151,20.79002079002079
186,76,118,0.0544,151,18.38235294117647
